"gene","waldStat_BA","pvalue_BA","padj_BA","fcMedian_BA","waldStat_AB","pvalue_AB","padj_AB","fcMedian_AB","max_padj","mean_waldStat","mean_fcMedian","both_positive_fc","both_negative_fc","consistent_direction"
"PAPPA",213.672069515002,0,0,0.659024363249173,221.305048263642,0,0,0.642805108897239,0,217.488558889322,0.650914736073206,TRUE,FALSE,TRUE
"PBX3",154.655334576119,0,0,1.2225228527174,146.628499806935,0,0,1.1144601618301,0,150.641917191527,1.16849150727375,TRUE,FALSE,TRUE
"PCNA",165.768581229959,0,0,1.2311230386825,184.311177725544,0,0,1.46123180632993,0,175.039879477751,1.34617742250621,TRUE,FALSE,TRUE
"PDIA3",128.575929077812,0,0,1.05078184834506,107.845328776881,0,0,0.860380179159593,0,118.210628927347,0.955581013752328,TRUE,FALSE,TRUE
"PDK4",320.988729584856,0,0,2.36288092935849,317.333203064954,0,0,2.33629432974318,0,319.160966324905,2.34958762955084,TRUE,FALSE,TRUE
"PHLDA1",96.6377278362636,0,0,0.796323406862374,115.074999530941,0,0,0.878911727381892,0,105.856363683602,0.837617567122133,TRUE,FALSE,TRUE
"PLD3",155.591463662967,0,0,0.657831613741133,100.890638584409,0,0,0.524022594520171,0,128.241051123688,0.590927104130652,TRUE,FALSE,TRUE
"PLIN2",156.028869530254,0,0,1.01666260622214,181.141446241888,0,0,1.03449913650628,0,168.585157886071,1.02558087136421,TRUE,FALSE,TRUE
"PLPP3",139.820975190801,0,0,0.928246466293813,110.165397376183,0,0,0.586173043832496,0,124.993186283492,0.757209755063154,TRUE,FALSE,TRUE
"PPP1R15A",179.040968230496,0,0,1.08783480618338,178.226471238193,0,0,1.26014724914436,0,178.633719734344,1.17399102766387,TRUE,FALSE,TRUE
"PRR11",172.014175521844,0,0,1.58428893409942,165.927434190751,0,0,1.36644460100731,0,168.970804856297,1.47536676755336,TRUE,FALSE,TRUE
"PRSS23",207.626418885669,0,0,0.56958535253388,183.753768597525,0,0,0.507357746500121,0,195.690093741597,0.538471549517001,TRUE,FALSE,TRUE
"PSAP",1483.94657243147,0,0,1.30643742902446,1470.80366083315,0,0,1.11289167564186,0,1477.37511663231,1.20966455233316,TRUE,FALSE,TRUE
"PTMA",413.0903408922,0,0,0.91721332545671,334.029302989897,0,0,0.828675030980466,0,373.559821941049,0.872944178218588,TRUE,FALSE,TRUE
"PTTG1",138.353624073982,0,0,1.32898825833511,142.429282394365,0,0,1.32520263348313,0,140.391453234174,1.32709544590912,TRUE,FALSE,TRUE
"RAB31",121.323357623604,0,0,0.965213078187555,120.008863590219,0,0,0.900182558435171,0,120.666110606912,0.932697818311363,TRUE,FALSE,TRUE
"RAN",98.6816499037529,0,0,0.49150474340987,85.3483395379545,0,0,0.529918004233641,0,92.0149947208537,0.510711373821756,TRUE,FALSE,TRUE
"RHOQ",256.205720590745,0,0,0.833870524381599,268.909949138527,0,0,0.789512914650992,0,262.557834864636,0.811691719516296,TRUE,FALSE,TRUE
"RND3",352.207757052587,0,0,1.18927870414487,328.600587266771,0,0,1.21325784414155,0,340.404172159679,1.20126827414321,TRUE,FALSE,TRUE
"S100A4",167.585989348684,0,0,0.7417803317597,141.224708602987,0,0,0.647863923032968,0,154.405348975835,0.694822127396334,TRUE,FALSE,TRUE
"SEPT11",101.49691786763,0,0,0.893615046832129,106.241005421955,0,0,0.891510972690706,0,103.868961644793,0.892563009761417,TRUE,FALSE,TRUE
"SERBP1",168.921901994151,0,0,1.14422355615537,107.576004237463,0,0,0.787380316687748,0,138.248953115807,0.965801936421558,TRUE,FALSE,TRUE
"SERPINB2",113.7860528757,0,0,3.42787528079692,102.177835092047,0,0,3.68664478462158,0,107.981943983873,3.55726003270925,TRUE,FALSE,TRUE
"SERPINE2",203.367492142511,0,0,0.637568586934536,182.357045908638,0,0,0.60688471157425,0,192.862269025574,0.622226649254393,TRUE,FALSE,TRUE
"SERPINF1",250.784581782107,0,0,0.764900925756807,264.751483853822,0,0,0.982855463116314,0,257.768032817964,0.873878194436561,TRUE,FALSE,TRUE
"SET",232.95473633767,0,0,0.866466250109526,245.990047667437,0,0,1.05791822492633,0,239.472392002554,0.96219223751793,TRUE,FALSE,TRUE
"SFRP2",127.778322071473,0,0,2.70499471524819,147.245734653715,0,0,2.79326790430122,0,137.512028362594,2.7491313097747,TRUE,FALSE,TRUE
"SH3BGRL3",128.230976405232,0,0,0.521255226451262,151.00300169699,0,0,0.567675864825478,0,139.616989051111,0.54446554563837,TRUE,FALSE,TRUE
"SMC4",270.004067499528,0,0,1.69310503146264,268.96527261303,0,0,1.50487920555803,0,269.484670056279,1.59899211851034,TRUE,FALSE,TRUE
"SNHG7",151.081411276804,0,0,1.10383196483061,156.778352231744,0,0,1.08011326971965,0,153.929881754274,1.09197261727513,TRUE,FALSE,TRUE
"SNRPG",130.793452655338,0,0,0.857295169852639,116.849130021097,0,0,0.865502282789936,0,123.821291338217,0.861398726321287,TRUE,FALSE,TRUE
"SNX9",232.41704046588,0,0,1.01275859721735,262.894793229246,0,0,1.08068316922297,0,247.655916847563,1.04672088322016,TRUE,FALSE,TRUE
"SOD2",408.016249301361,0,0,1.55880696540255,489.987856703206,0,0,1.58142664852213,0,449.002053002284,1.57011680696234,TRUE,FALSE,TRUE
"SPARC",401.807734185233,0,0,0.603995770467355,424.729358667537,0,0,0.552521012248375,0,413.268546426385,0.578258391357865,TRUE,FALSE,TRUE
"SQSTM1",640.278937096636,0,0,1.6416377498012,538.688671127709,0,0,1.34823202493382,0,589.483804112172,1.49493488736751,TRUE,FALSE,TRUE
"STC1",84.175314568165,0,0,0.777947516477083,120.884122088167,0,0,0.797586637879572,0,102.529718328166,0.787767077178327,TRUE,FALSE,TRUE
"STC2",568.806919327676,0,0,1.57945403970673,564.907049380717,0,0,1.44759029079018,0,566.856984354196,1.51352216524846,TRUE,FALSE,TRUE
"STMN1",543.132829736473,0,0,1.96675739311392,553.183284555771,0,0,1.8294334637089,0,548.158057146122,1.89809542841141,TRUE,FALSE,TRUE
"STMN2",349.512014231088,0,0,1.19843913434346,345.73284198792,0,0,1.33592592395909,0,347.622428109504,1.26718252915128,TRUE,FALSE,TRUE
"TFPI2",126.424929530806,0,0,1.02982871533109,109.015132751254,0,0,0.990907600521806,0,117.72003114103,1.01036815792645,TRUE,FALSE,TRUE
"THBD",187.419832653176,0,0,1.77138785575099,210.756095604264,0,0,1.52550330458918,0,199.08796412872,1.64844558017008,TRUE,FALSE,TRUE
"THBS1",621.447971395362,0,0,0.842079979926685,605.971162238427,0,0,0.851162559736821,0,613.709566816894,0.846621269831753,TRUE,FALSE,TRUE
"THBS2",634.12320523129,0,0,1.41697354433468,637.861419112934,0,0,1.32970206367004,0,635.992312172112,1.37333780400236,TRUE,FALSE,TRUE
"THY1",93.4620271460986,0,0,0.667060446530918,95.9396686566698,0,0,0.641468795230146,0,94.7008479013842,0.654264620880532,TRUE,FALSE,TRUE
"TM4SF1",281.545986660918,0,0,1.19476477867068,285.14864074512,0,0,1.1456683346168,0,283.347313703019,1.17021655664374,TRUE,FALSE,TRUE
"TOP2A",187.862109457073,0,0,1.95898006939045,186.908361977368,0,0,1.8863403847764,0,187.38523571722,1.92266022708343,TRUE,FALSE,TRUE
"TP53I11",144.031956301699,0,0,1.26127128675208,147.078320420173,0,0,1.17506823989464,0,145.555138360936,1.21816976332336,TRUE,FALSE,TRUE
"TPX2",131.994911628949,0,0,1.63171761859869,141.656656630021,0,0,1.56435545367042,0,136.825784129485,1.59803653613456,TRUE,FALSE,TRUE
"TUBA1A",96.2011131623726,0,0,0.900304100572362,134.542016897654,0,0,0.875150200499604,0,115.371565030013,0.887727150535983,TRUE,FALSE,TRUE
"TUBA1C",114.34898162842,0,0,0.533232551445341,99.7282061511519,0,0,0.56311678039649,0,107.038593889786,0.548174665920915,TRUE,FALSE,TRUE
"TUBB4B",91.9475745029743,0,0,0.634666302217652,97.0349118936551,0,0,0.691917742888351,0,94.4912431983147,0.663292022553001,TRUE,FALSE,TRUE
"TXNIP",246.841961218655,0,0,0.684230015858984,312.137705090868,0,0,0.791336018450682,0,279.489833154762,0.737783017154833,TRUE,FALSE,TRUE
"TYMS",291.933732952433,0,0,2.3049952461788,291.485062173664,0,0,2.20391148718178,0,291.709397563049,2.25445336668029,TRUE,FALSE,TRUE
"UBE2S",204.385027796553,0,0,0.842108465316175,178.284246354713,0,0,0.871492908349957,0,191.334637075633,0.856800686833066,TRUE,FALSE,TRUE
"VAT1",170.49512787022,0,0,0.570734648434753,147.348098418248,0,0,0.85488970279769,0,158.921613144234,0.712812175616222,TRUE,FALSE,TRUE
"WISP2",209.275547019398,0,0,2.53791671216255,231.231626568497,0,0,3.35105549296915,0,220.253586793948,2.94448610256585,TRUE,FALSE,TRUE
"YWHAE",625.970804620405,0,0,1.21103162811523,573.843880089832,0,0,1.18269193497822,0,599.907342355119,1.19686178154673,TRUE,FALSE,TRUE
"ZFAND5",175.476977948698,0,0,1.016433226677,165.416167174063,0,0,0.955677481963992,0,170.44657256138,0.986055354320494,TRUE,FALSE,TRUE
"ZFAS1",125.498511503063,0,0,0.868773543799539,119.088465851524,0,0,0.900302008168385,0,122.293488677293,0.884537775983962,TRUE,FALSE,TRUE
"ZFP36L1",235.449431874054,0,0,0.849271089711022,255.62523881839,0,0,0.825526808472409,0,245.537335346222,0.837398949091715,TRUE,FALSE,TRUE
